Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Hook of Holland-Vienna;1706.0;1706.0;0;0.0;0.0;1.005035638809204;
Hamburg-Vienna;1233.0;1233.0;1233.0;0.0010001659393310547;0.0;0.005067110061645508;
Hamburg-Paris;1149.0;1149.0;0;0.0;0.0;1.0036346912384033;
Calais-Brussels;204.0;204.0;0;0.0;0.0;1.00528883934021;
Munich-Barcelona;1345.0;1345.0;0;0.0;0.0;1.0049328804016113;
Copenhagen-Hook of Holland;1466.0;1466.0;0;0.0;0.0;1.0049924850463867;
Lisbon-Brussels;1868.0;1868.0;0;0.0;0.0;1.0014674663543701;
Gibraltar-Marseilles;1693.0;1693.0;0;0.0;0.0;1.0032250881195068;
Geneva-Vienna;1226.0;1226.0;0;0.0;0.0;1.005406141281128;
Athens-Geneva;3010.0;3010.0;4095.0;0.0;0.0009999275207519531;0.004606008529663086;
Rome-Stockholm;2707.0;2707.0;0;0.0;0.0;1.0002944469451904;
Cologne-Munich;1438.0;1438.0;0;0.0;0.0;1.001530647277832;
Cherbourg-Lyons;1273.0;1273.0;0;0.0;0.0;1.0050532817840576;
Rome-Geneva;1206.0;1206.0;5908.0;0.0;0.0;0.00765228271484375;
Vienna-Cherbourg;1588.0;1588.0;0;0.0;0.0;1.0065436363220215;
Stockholm-Rome;2671.0;2671.0;0;0.0;0.0;1.0049715042114258;
Lisbon-Hook of Holland;2231.0;2231.0;0;0.0;0.0;1.0004291534423828;
Lyons-Calais;894.0;894.0;0;0.0009989738464355469;0.0;1.0048818588256836;
Barcelona-Madrid;1678.0;1678.0;1678.0;0.0;0.0;0.0;
Lyons-Hook of Holland;1053.0;1053.0;0;0.0;0.0;1.0028784275054932;
Lyons-Cherbourg;1273.0;1273.0;0;0.0;0.0;1.0018565654754639;
Copenhagen-Lisbon;2636.0;2636.0;3793.0;0.0;0.0;0.007652759552001953;
Milan-Hook of Holland;1459.0;1459.0;1940.0;0.0;0.0;0.005316019058227539;
Lisbon-Vienna;2330.0;2330.0;0;0.0;0.0;1.002349853515625;
Barcelona-Hamburg;2040.0;2040.0;0;0.0;0.0;1.0048463344573975;
Copenhagen-Vienna;1532.0;1532.0;0;0.0;0.0009999275207519531;1.0001475811004639;
Paris-Milan;799.0;799.0;0;0.0;0.0;1.004706859588623;
Lisbon-Rome;2092.0;2092.0;0;0.0;0.0;1.0000436305999756;
Lyons-Barcelona;1342.0;1342.0;0;0.0;0.0;1.0009424686431885;
Madrid-Paris;1830.0;1830.0;0;0.0;0.0;1.0042212009429932;
Marseilles-Paris;938.0;938.0;0;0.0;0.0;1.0000720024108887;
Barcelona-Paris;1316.0;1316.0;0;0.0;0.0;1.0046563148498535;
Calais-Vienna;1381.0;1381.0;1381.0;0.0;0.0;0.0;
Lisbon-Lyons;1178.0;1178.0;0;0.0;0.0;1.0002810955047607;
Rome-Gibraltar;2631.0;2631.0;0;0.0;0.0;1.0001718997955322;
Geneva-Brussels;677.0;677.0;0;0.0;0.0;1.0007030963897705;
Stockholm-Calais;1786.0;1786.0;0;0.0;0.0009999275207519531;1.003978967666626;
Lyons-Stockholm;1972.0;1972.0;0;0.0;0.0;1.0049176216125488;
Vienna-Hamburg;1755.0;1755.0;0;0.0;0.0;1.0040483474731445;
Brussels-Geneva;677.0;677.0;677.0;0.0;0.0;0.0;
Gibraltar-Copenhagen;2697.0;2697.0;0;0.0;0.0;1.0002343654632568;
Marseilles-Madrid;1157.0;1157.0;1157.0;0.0;0.0;0.0;
Rome-Cherbourg;1794.0;1794.0;0;0.0;0.0;1.002631425857544;
Stockholm-Brussels;1672.0;1672.0;0;0.0;0.0;1.002272605895996;
Athens-Lyons;3148.0;3148.0;0;0.0;0.0;1.0049619674682617;
Munich-Stockholm;1754.0;1754.0;0;0.0;0.0;1.0051612854003906;
Paris-Brussels;285.0;285.0;0;0.0;0.0;1.009671926498413;
Hamburg-Rome;1722.0;1722.0;0;0.0010004043579101562;0.0;1.003180742263794;
Gibraltar-Vienna;2969.0;2969.0;0;0.0;0.0;1.0050203800201416;
Hook of Holland-Brussels;172.0;172.0;0;0.0;0.0;1.0047955513000488;
Brussels-Munich;1106.0;1106.0;0;0.0;0.0;1.0062472820281982;
Cologne-Vienna;1790.0;1790.0;0;0.0;0.0;1.000873327255249;
Munich-Milan;331.0;331.0;0;0.0;0.0;1.0021336078643799;
Hook of Holland-Gibraltar;2428.0;2428.0;0;0.0;0.0;1.000685691833496;
