Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Hook of Holland-Vienna;1706.0;1706.0;0;0.0;0.0;1.00001859664917;
Hamburg-Vienna;1233.0;1233.0;0;0.0010001659393310547;0.0;1.0001888275146484;
Hamburg-Paris;1149.0;1149.0;3864.0;0.0;0.0;0.004596710205078125;
Calais-Brussels;204.0;204.0;204.0;0.0;0.0;0.0006494522094726562;
Munich-Barcelona;1345.0;1345.0;0;0.0;0.0;1.0020473003387451;
Copenhagen-Hook of Holland;1466.0;1466.0;0;0.0;0.0;1.0024864673614502;
Lisbon-Brussels;1868.0;1868.0;0;0.0;0.0;1.002286434173584;
Gibraltar-Marseilles;1693.0;1693.0;0;0.0;0.0;1.0024607181549072;
Geneva-Vienna;1226.0;1226.0;0;0.0;0.0;1.0002367496490479;
Athens-Geneva;3010.0;3010.0;4095.0;0.0;0.0009999275207519531;0.0;
Rome-Stockholm;2707.0;2707.0;0;0.0;0.0;1.0045604705810547;
Cologne-Munich;1438.0;1438.0;0;0.0;0.0;1.0004172325134277;
Cherbourg-Lyons;1273.0;1273.0;0;0.0;0.0;1.0046718120574951;
Rome-Geneva;1206.0;1206.0;7705.0;0.0;0.0;0.005061149597167969;
Vienna-Cherbourg;1588.0;1588.0;0;0.0;0.0;1.0015647411346436;
Stockholm-Rome;2671.0;2671.0;0;0.0;0.0;1.0048580169677734;
Lisbon-Hook of Holland;2231.0;2231.0;0;0.0;0.0;1.0050866603851318;
Lyons-Calais;894.0;894.0;0;0.0009989738464355469;0.0;1.0019876956939697;
Barcelona-Madrid;1678.0;1678.0;0;0.0;0.0;1.0006983280181885;
Lyons-Hook of Holland;1053.0;1053.0;0;0.0;0.0;1.002305507659912;
Lyons-Cherbourg;1273.0;1273.0;0;0.0;0.0;1.0098445415496826;
Copenhagen-Lisbon;2636.0;2636.0;0;0.0;0.0;1.0000019073486328;
Milan-Hook of Holland;1459.0;1459.0;0;0.0;0.0;1.0001354217529297;
Lisbon-Vienna;2330.0;2330.0;0;0.0;0.0;1.0000479221343994;
Barcelona-Hamburg;2040.0;2040.0;0;0.0;0.0;1.0041656494140625;
Copenhagen-Vienna;1532.0;1532.0;0;0.0;0.0009999275207519531;1.0008795261383057;
Paris-Milan;799.0;799.0;0;0.0;0.0;1.001462459564209;
Lisbon-Rome;2092.0;2092.0;0;0.0;0.0;1.003309965133667;
Lyons-Barcelona;1342.0;1342.0;0;0.0;0.0;1.0023736953735352;
Madrid-Paris;1830.0;1830.0;0;0.0;0.0;1.010495662689209;
Marseilles-Paris;938.0;938.0;0;0.0;0.0;1.0094473361968994;
Barcelona-Paris;1316.0;1316.0;0;0.0;0.0;1.0008549690246582;
Calais-Vienna;1381.0;1381.0;0;0.0;0.0;1.0147080421447754;
Lisbon-Lyons;1178.0;1178.0;0;0.0;0.0;1.0054948329925537;
Rome-Gibraltar;2631.0;2631.0;0;0.0;0.0;1.0120925903320312;
Geneva-Brussels;677.0;677.0;0;0.0;0.0;1.0002663135528564;
Stockholm-Calais;1786.0;1786.0;0;0.0;0.0009999275207519531;1.0149483680725098;
Lyons-Stockholm;1972.0;1972.0;0;0.0;0.0;1.0017986297607422;
Vienna-Hamburg;1755.0;1755.0;0;0.0;0.0;1.004908800125122;
Brussels-Geneva;677.0;677.0;677.0;0.0;0.0;0.0;
Gibraltar-Copenhagen;2697.0;2697.0;0;0.0;0.0;1.011946201324463;
Marseilles-Madrid;1157.0;1157.0;0;0.0;0.0;1.0158920288085938;
Rome-Cherbourg;1794.0;1794.0;1794.0;0.0;0.0;0.0;
Stockholm-Brussels;1672.0;1672.0;0;0.0;0.0;1.0021638870239258;
Athens-Lyons;3148.0;3148.0;0;0.0;0.0;1.0015244483947754;
Munich-Stockholm;1754.0;1754.0;0;0.0;0.0;1.0021770000457764;
Paris-Brussels;285.0;285.0;0;0.0;0.0;1.0011322498321533;
Hamburg-Rome;1722.0;1722.0;0;0.0010004043579101562;0.0;1.0022923946380615;
Gibraltar-Vienna;2969.0;2969.0;0;0.0;0.0;1.0021629333496094;
Hook of Holland-Brussels;172.0;172.0;172.0;0.0;0.0;0.0;
Brussels-Munich;1106.0;1106.0;0;0.0;0.0;1.0016148090362549;
Cologne-Vienna;1790.0;1790.0;0;0.0;0.0;1.0015819072723389;
Munich-Milan;331.0;331.0;0;0.0;0.0;1.0016961097717285;
Hook of Holland-Gibraltar;2428.0;2428.0;0;0.0;0.0;1.0010712146759033;
