Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Hook of Holland-Vienna;1706.0;1706.0;0;0.0;0.0;1.0080018043518066;
Hamburg-Vienna;1233.0;1233.0;0;0.0010001659393310547;0.0;1.0097451210021973;
Hamburg-Paris;1149.0;1149.0;0;0.0;0.0;1.0014538764953613;
Calais-Brussels;204.0;204.0;204.0;0.0;0.0;0.0;
Munich-Barcelona;1345.0;1345.0;1365.0;0.0;0.0;0.0;
Copenhagen-Hook of Holland;1466.0;1466.0;0;0.0;0.0;1.0135135650634766;
Lisbon-Brussels;1868.0;1868.0;0;0.0;0.0;1.0008010864257812;
Gibraltar-Marseilles;1693.0;1693.0;0;0.0;0.0;1.014115810394287;
Geneva-Vienna;1226.0;1226.0;0;0.0;0.0;1.0006377696990967;
Athens-Geneva;3010.0;3010.0;0;0.0;0.0009999275207519531;1.0083863735198975;
Rome-Stockholm;2707.0;2707.0;0;0.0;0.0;1.0095367431640625;
Cologne-Munich;1438.0;1438.0;0;0.0;0.0;1.001312255859375;
Cherbourg-Lyons;1273.0;1273.0;0;0.0;0.0;1.015059232711792;
Rome-Geneva;1206.0;1206.0;0;0.0;0.0;1.0014808177947998;
Vienna-Cherbourg;1588.0;1588.0;0;0.0;0.0;1.0052800178527832;
Stockholm-Rome;2671.0;2671.0;0;0.0;0.0;1.0093731880187988;
Lisbon-Hook of Holland;2231.0;2231.0;0;0.0;0.0;1.0018491744995117;
Lyons-Calais;894.0;894.0;12071.0;0.0009989738464355469;0.0;0.0;
Barcelona-Madrid;1678.0;1678.0;0;0.0;0.0;1.000089168548584;
Lyons-Hook of Holland;1053.0;1053.0;0;0.0;0.0;1.0139751434326172;
Lyons-Cherbourg;1273.0;1273.0;0;0.0;0.0;1.0046720504760742;
Copenhagen-Lisbon;2636.0;2636.0;0;0.0;0.0;1.0011842250823975;
Milan-Hook of Holland;1459.0;1459.0;0;0.0;0.0;1.0015549659729004;
Lisbon-Vienna;2330.0;2330.0;0;0.0;0.0;1.0014262199401855;
Barcelona-Hamburg;2040.0;2040.0;0;0.0;0.0;1.0009558200836182;
Copenhagen-Vienna;1532.0;1532.0;0;0.0;0.0009999275207519531;1.001756191253662;
Paris-Milan;799.0;799.0;0;0.0;0.0;1.0006051063537598;
Lisbon-Rome;2092.0;2092.0;0;0.0;0.0;1.0013413429260254;
Lyons-Barcelona;1342.0;1342.0;1342.0;0.0;0.0;0.00400233268737793;
Madrid-Paris;1830.0;1830.0;0;0.0;0.0;1.0048913955688477;
Marseilles-Paris;938.0;938.0;0;0.0;0.0;1.0145049095153809;
Barcelona-Paris;1316.0;1316.0;0;0.0;0.0;1.0035264492034912;
Calais-Vienna;1381.0;1381.0;0;0.0;0.0;1.0112779140472412;
Lisbon-Lyons;1178.0;1178.0;0;0.0;0.0;1.0017876625061035;
Rome-Gibraltar;2631.0;2631.0;0;0.0;0.0;1.0133283138275146;
Geneva-Brussels;677.0;677.0;677.0;0.0;0.0;0.0;
Stockholm-Calais;1786.0;1786.0;5851.0;0.0;0.0009999275207519531;0.017195940017700195;
Lyons-Stockholm;1972.0;1972.0;0;0.0;0.0;1.0024187564849854;
Vienna-Hamburg;1755.0;1755.0;0;0.0;0.0;1.003847599029541;
Brussels-Geneva;677.0;677.0;0;0.0;0.0;1.0114021301269531;
Gibraltar-Copenhagen;2697.0;2697.0;0;0.0;0.0;1.0003654956817627;
Marseilles-Madrid;1157.0;1157.0;0;0.0;0.0;1.0152184963226318;
Rome-Cherbourg;1794.0;1794.0;0;0.0;0.0;1.0016419887542725;
Stockholm-Brussels;1672.0;1672.0;0;0.0;0.0;1.0045199394226074;
Athens-Lyons;3148.0;3148.0;0;0.0;0.0;1.0088729858398438;
Munich-Stockholm;1754.0;1754.0;0;0.0;0.0;1.00189208984375;
Paris-Brussels;285.0;285.0;0;0.0;0.0;1.0006272792816162;
Hamburg-Rome;1722.0;1722.0;0;0.0010004043579101562;0.0;1.0018644332885742;
Gibraltar-Vienna;2969.0;2969.0;0;0.0;0.0;1.0018019676208496;
Hook of Holland-Brussels;172.0;172.0;172.0;0.0;0.0;0.0;
Brussels-Munich;1106.0;1106.0;0;0.0;0.0;1.0009610652923584;
Cologne-Vienna;1790.0;1790.0;0;0.0;0.0;1.0019514560699463;
Munich-Milan;331.0;331.0;0;0.0;0.0;1.00193190574646;
Hook of Holland-Gibraltar;2428.0;2428.0;2428.0;0.0;0.0;0.0;
