Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Hook of Holland-Vienna;1706.0;1706.0;0;0.0;0.0;1.0142936706542969;
Hamburg-Vienna;1233.0;1233.0;0;0.0010001659393310547;0.0;1.011352777481079;
Hamburg-Paris;1149.0;1149.0;5867.0;0.0;0.0;0.0;
Calais-Brussels;204.0;204.0;0;0.0;0.0;1.003082513809204;
Munich-Barcelona;1345.0;1345.0;0;0.0;0.0;1.0058612823486328;
Copenhagen-Hook of Holland;1466.0;1466.0;5122.0;0.0;0.0;0.0;
Lisbon-Brussels;1868.0;1868.0;0;0.0;0.0;1.0012619495391846;
Gibraltar-Marseilles;1693.0;1693.0;1855.0;0.0;0.0;0.0;
Geneva-Vienna;1226.0;1226.0;1762.0;0.0;0.0;0.007277488708496094;
Athens-Geneva;3010.0;3010.0;0;0.0;0.0009999275207519531;1.0098042488098145;
Rome-Stockholm;2707.0;2707.0;0;0.0;0.0;1.0017390251159668;
Cologne-Munich;1438.0;1438.0;0;0.0;0.0;1.0142567157745361;
Cherbourg-Lyons;1273.0;1273.0;0;0.0;0.0;1.004622459411621;
Rome-Geneva;1206.0;1206.0;0;0.0;0.0;1.0111465454101562;
Vienna-Cherbourg;1588.0;1588.0;0;0.0;0.0;1.0001716613769531;
Stockholm-Rome;2671.0;2671.0;0;0.0;0.0;1.0156316757202148;
Lisbon-Hook of Holland;2231.0;2231.0;6525.0;0.0;0.0;0.0;
Lyons-Calais;894.0;894.0;0;0.0009989738464355469;0.0;1.008319616317749;
Barcelona-Madrid;1678.0;1678.0;0;0.0;0.0;1.0044989585876465;
Lyons-Hook of Holland;1053.0;1053.0;3608.0;0.0;0.0;0.0;
Lyons-Cherbourg;1273.0;1273.0;0;0.0;0.0;1.0132920742034912;
Copenhagen-Lisbon;2636.0;2636.0;0;0.0;0.0;1.0150651931762695;
Milan-Hook of Holland;1459.0;1459.0;3687.0;0.0;0.0;0.0;
Lisbon-Vienna;2330.0;2330.0;0;0.0;0.0;1.0015466213226318;
Barcelona-Hamburg;2040.0;2040.0;0;0.0;0.0;1.000411033630371;
Copenhagen-Vienna;1532.0;1532.0;0;0.0;0.0009999275207519531;1.0043983459472656;
Paris-Milan;799.0;799.0;3057.0;0.0;0.0;0.0;
Lisbon-Rome;2092.0;2092.0;0;0.0;0.0;1.0006422996520996;
Lyons-Barcelona;1342.0;1342.0;0;0.0;0.0;1.0011136531829834;
Madrid-Paris;1830.0;1830.0;7072.0;0.0;0.0;0.0;
Marseilles-Paris;938.0;938.0;3993.0;0.0;0.0;0.0;
Barcelona-Paris;1316.0;1316.0;2482.0;0.0;0.0;0.010143518447875977;
Calais-Vienna;1381.0;1381.0;1381.0;0.0;0.0;0.0030808448791503906;
Lisbon-Lyons;1178.0;1178.0;0;0.0;0.0;1.0018491744995117;
Rome-Gibraltar;2631.0;2631.0;2631.0;0.0;0.0;0.0;
Geneva-Brussels;677.0;677.0;677.0;0.0;0.0;0.0;
Stockholm-Calais;1786.0;1786.0;0;0.0;0.0009999275207519531;1.0152788162231445;
Lyons-Stockholm;1972.0;1972.0;0;0.0;0.0;1.0079052448272705;
Vienna-Hamburg;1755.0;1755.0;0;0.0;0.0;1.0107626914978027;
Brussels-Geneva;677.0;677.0;0;0.0;0.0;1.0004761219024658;
Gibraltar-Copenhagen;2697.0;2697.0;0;0.0;0.0;1.0152058601379395;
Marseilles-Madrid;1157.0;1157.0;0;0.0;0.0;1.001638650894165;
Rome-Cherbourg;1794.0;1794.0;1794.0;0.0;0.0;0.0;
Stockholm-Brussels;1672.0;1672.0;0;0.0;0.0;1.0042235851287842;
Athens-Lyons;3148.0;3148.0;0;0.0;0.0;1.0123708248138428;
Munich-Stockholm;1754.0;1754.0;0;0.0;0.0;1.0150225162506104;
Paris-Brussels;285.0;285.0;0;0.0;0.0;1.0013432502746582;
Hamburg-Rome;1722.0;1722.0;0;0.0010004043579101562;0.0;1.0153532028198242;
Gibraltar-Vienna;2969.0;2969.0;0;0.0;0.0;1.0050485134124756;
Hook of Holland-Brussels;172.0;172.0;172.0;0.0;0.0;0.0;
Brussels-Munich;1106.0;1106.0;6707.0;0.0;0.0;0.008568763732910156;
Cologne-Vienna;1790.0;1790.0;0;0.0;0.0;1.002392053604126;
Munich-Milan;331.0;331.0;1862.0;0.0;0.0;0.0;
Hook of Holland-Gibraltar;2428.0;2428.0;9452.0;0.0;0.0;0.0003075599670410156;
