Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Hook of Holland-Vienna;1706.0;1706.0;0;0.0;0.0;1.0128240585327148;
Hamburg-Vienna;1233.0;1233.0;0;0.0010001659393310547;0.0;1.008866310119629;
Hamburg-Paris;1149.0;1149.0;0;0.0;0.0;1.001188039779663;
Calais-Brussels;204.0;204.0;0;0.0;0.0;1.0013339519500732;
Munich-Barcelona;1345.0;1345.0;0;0.0;0.0;1.0015738010406494;
Copenhagen-Hook of Holland;1466.0;1466.0;5122.0;0.0;0.0;0.0;
Lisbon-Brussels;1868.0;1868.0;4250.0;0.0;0.0;0.010660648345947266;
Gibraltar-Marseilles;1693.0;1693.0;1855.0;0.0;0.0;0.0;
Geneva-Vienna;1226.0;1226.0;0;0.0;0.0;1.0014498233795166;
Athens-Geneva;3010.0;3010.0;0;0.0;0.0009999275207519531;1.0104222297668457;
Rome-Stockholm;2707.0;2707.0;0;0.0;0.0;1.0152966976165771;
Cologne-Munich;1438.0;1438.0;0;0.0;0.0;1.0017220973968506;
Cherbourg-Lyons;1273.0;1273.0;0;0.0;0.0;1.0155329704284668;
Rome-Geneva;1206.0;1206.0;0;0.0;0.0;1.001077651977539;
Vienna-Cherbourg;1588.0;1588.0;0;0.0;0.0;1.015451431274414;
Stockholm-Rome;2671.0;2671.0;2707.0;0.0;0.0;0.0;
Lisbon-Hook of Holland;2231.0;2231.0;6525.0;0.0;0.0;0.0;
Lyons-Calais;894.0;894.0;0;0.0009989738464355469;0.0;1.0061962604522705;
Barcelona-Madrid;1678.0;1678.0;0;0.0;0.0;1.0152137279510498;
Lyons-Hook of Holland;1053.0;1053.0;3608.0;0.0;0.0;0.0025680065155029297;
Lyons-Cherbourg;1273.0;1273.0;0;0.0;0.0;1.0017139911651611;
Copenhagen-Lisbon;2636.0;2636.0;0;0.0;0.0;1.0019283294677734;
Milan-Hook of Holland;1459.0;1459.0;3687.0;0.0;0.0;0.0;
Lisbon-Vienna;2330.0;2330.0;0;0.0;0.0;1.0004322528839111;
Barcelona-Hamburg;2040.0;2040.0;0;0.0;0.0;1.0022928714752197;
Copenhagen-Vienna;1532.0;1532.0;0;0.0;0.0009999275207519531;1.0025510787963867;
Paris-Milan;799.0;799.0;0;0.0;0.0;1.0016627311706543;
Lisbon-Rome;2092.0;2092.0;6400.0;0.0;0.0;0.005709409713745117;
Lyons-Barcelona;1342.0;1342.0;0;0.0;0.0;1.0021145343780518;
Madrid-Paris;1830.0;1830.0;0;0.0;0.0;1.0122883319854736;
Marseilles-Paris;938.0;938.0;0;0.0;0.0;1.0150108337402344;
Barcelona-Paris;1316.0;1316.0;0;0.0;0.0;1.0016717910766602;
Calais-Vienna;1381.0;1381.0;0;0.0;0.0;1.0137951374053955;
Lisbon-Lyons;1178.0;1178.0;0;0.0;0.0;1.0086150169372559;
Rome-Gibraltar;2631.0;2631.0;0;0.0;0.0;1.0107574462890625;
Geneva-Brussels;677.0;677.0;0;0.0;0.0;1.0003209114074707;
Stockholm-Calais;1786.0;1786.0;0;0.0;0.0009999275207519531;1.0149266719818115;
Lyons-Stockholm;1972.0;1972.0;0;0.0;0.0;1.0016286373138428;
Vienna-Hamburg;1755.0;1755.0;0;0.0;0.0;1.0026240348815918;
Brussels-Geneva;677.0;677.0;0;0.0;0.0;1.0124175548553467;
Gibraltar-Copenhagen;2697.0;2697.0;0;0.0;0.0;1.0014209747314453;
Marseilles-Madrid;1157.0;1157.0;0;0.0;0.0;1.0155482292175293;
Rome-Cherbourg;1794.0;1794.0;0;0.0;0.0;1.001352071762085;
Stockholm-Brussels;1672.0;1672.0;0;0.0;0.0;1.0046310424804688;
Athens-Lyons;3148.0;3148.0;0;0.0;0.0;1.0042078495025635;
Munich-Stockholm;1754.0;1754.0;0;0.0;0.0;1.0016510486602783;
Paris-Brussels;285.0;285.0;0;0.0;0.0;1.0017814636230469;
Hamburg-Rome;1722.0;1722.0;0;0.0010004043579101562;0.0;1.0018305778503418;
Gibraltar-Vienna;2969.0;2969.0;0;0.0;0.0;1.0021600723266602;
Hook of Holland-Brussels;172.0;172.0;0;0.0;0.0;1.0017127990722656;
Brussels-Munich;1106.0;1106.0;0;0.0;0.0;1.0012702941894531;
Cologne-Vienna;1790.0;1790.0;0;0.0;0.0;1.0016615390777588;
Munich-Milan;331.0;331.0;0;0.0;0.0;1.0015809535980225;
Hook of Holland-Gibraltar;2428.0;2428.0;5346.0;0.0;0.0;0.0;
