Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Hook of Holland-Vienna;1706.0;1706.0;0;0.0;0.0;1.0158700942993164;
Hamburg-Vienna;1233.0;1233.0;0;0.0010001659393310547;0.0;1.0100431442260742;
Hamburg-Paris;1149.0;1149.0;0;0.0;0.0;1.0147109031677246;
Calais-Brussels;204.0;204.0;0;0.0;0.0;1.0016579627990723;
Munich-Barcelona;1345.0;1345.0;0;0.0;0.0;1.0013277530670166;
Copenhagen-Hook of Holland;1466.0;1466.0;0;0.0;0.0;1.0070304870605469;
Lisbon-Brussels;1868.0;1868.0;0;0.0;0.0;1.0016963481903076;
Gibraltar-Marseilles;1693.0;1693.0;0;0.0;0.0;1.0026569366455078;
Geneva-Vienna;1226.0;1226.0;0;0.0;0.0;1.0015623569488525;
Athens-Geneva;3010.0;3010.0;4694.0;0.0;0.0009999275207519531;0.010373115539550781;
Rome-Stockholm;2707.0;2707.0;0;0.0;0.0;1.0090231895446777;
Cologne-Munich;1438.0;1438.0;1438.0;0.0;0.0;0.0;
Cherbourg-Lyons;1273.0;1273.0;0;0.0;0.0;1.0093905925750732;
Rome-Geneva;1206.0;1206.0;0;0.0;0.0;1.0146074295043945;
Vienna-Cherbourg;1588.0;1588.0;0;0.0;0.0;1.003391981124878;
Stockholm-Rome;2671.0;2671.0;0;0.0;0.0;1.0037190914154053;
Lisbon-Hook of Holland;2231.0;2231.0;3794.0;0.0;0.0;0.0;
Lyons-Calais;894.0;894.0;0;0.0009989738464355469;0.0;1.0153934955596924;
Barcelona-Madrid;1678.0;1678.0;1973.0;0.0;0.0;0.0;
Lyons-Hook of Holland;1053.0;1053.0;0;0.0;0.0;1.0090086460113525;
Lyons-Cherbourg;1273.0;1273.0;0;0.0;0.0;1.0007636547088623;
Copenhagen-Lisbon;2636.0;2636.0;0;0.0;0.0;1.0101306438446045;
Milan-Hook of Holland;1459.0;1459.0;0;0.0;0.0;1.0013024806976318;
Lisbon-Vienna;2330.0;2330.0;0;0.0;0.0;1.001434564590454;
Barcelona-Hamburg;2040.0;2040.0;0;0.0;0.0;1.001319169998169;
Copenhagen-Vienna;1532.0;1532.0;0;0.0;0.0009999275207519531;1.0034735202789307;
Paris-Milan;799.0;799.0;3057.0;0.0;0.0;0.0;
Lisbon-Rome;2092.0;2092.0;0;0.0;0.0;1.0033202171325684;
Lyons-Barcelona;1342.0;1342.0;0;0.0;0.0;1.0058221817016602;
Madrid-Paris;1830.0;1830.0;0;0.0;0.0;1.0119354724884033;
Marseilles-Paris;938.0;938.0;0;0.0;0.0;1.0008130073547363;
Barcelona-Paris;1316.0;1316.0;0;0.0;0.0;1.0145595073699951;
Calais-Vienna;1381.0;1381.0;0;0.0;0.0;1.0005557537078857;
Lisbon-Lyons;1178.0;1178.0;0;0.0;0.0;1.0045051574707031;
Rome-Gibraltar;2631.0;2631.0;0;0.0;0.0;1.0111498832702637;
Geneva-Brussels;677.0;677.0;0;0.0;0.0;1.0027053356170654;
Stockholm-Calais;1786.0;1786.0;0;0.0;0.0009999275207519531;1.0144321918487549;
Lyons-Stockholm;1972.0;1972.0;0;0.0;0.0;1.0003612041473389;
Vienna-Hamburg;1755.0;1755.0;0;0.0;0.0;1.0064451694488525;
Brussels-Geneva;677.0;677.0;0;0.0;0.0;1.0091090202331543;
Gibraltar-Copenhagen;2697.0;2697.0;0;0.0;0.0;1.0021872520446777;
Marseilles-Madrid;1157.0;1157.0;0;0.0;0.0;1.0144376754760742;
Rome-Cherbourg;1794.0;1794.0;1794.0;0.0;0.0;0.0;
Stockholm-Brussels;1672.0;1672.0;0;0.0;0.0;1.0013039112091064;
Athens-Lyons;3148.0;3148.0;0;0.0;0.0;1.001260757446289;
Munich-Stockholm;1754.0;1754.0;0;0.0;0.0;1.0020906925201416;
Paris-Brussels;285.0;285.0;0;0.0;0.0;1.0013477802276611;
Hamburg-Rome;1722.0;1722.0;0;0.0010004043579101562;0.0;1.0013601779937744;
Gibraltar-Vienna;2969.0;2969.0;0;0.0;0.0;1.001523733139038;
Hook of Holland-Brussels;172.0;172.0;0;0.0;0.0;1.0008764266967773;
Brussels-Munich;1106.0;1106.0;0;0.0;0.0;1.0010266304016113;
Cologne-Vienna;1790.0;1790.0;0;0.0;0.0;1.000584363937378;
Munich-Milan;331.0;331.0;1862.0;0.0;0.0;0.0;
Hook of Holland-Gibraltar;2428.0;2428.0;0;0.0;0.0;1.0118052959442139;
