Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Hook of Holland-Vienna;1706.0;1706.0;11671.0;0.0;0.0;0.021026134490966797;
Hamburg-Vienna;1233.0;1233.0;5870.0;0.0010001659393310547;0.0;0.0;
Hamburg-Paris;1149.0;1149.0;0;0.0;0.0;1.0154149532318115;
Calais-Brussels;204.0;204.0;0;0.0;0.0;1.013549566268921;
Munich-Barcelona;1345.0;1345.0;0;0.0;0.0;1.0021326541900635;
Copenhagen-Hook of Holland;1466.0;1466.0;0;0.0;0.0;1.002256155014038;
Lisbon-Brussels;1868.0;1868.0;0;0.0;0.0;1.0025579929351807;
Gibraltar-Marseilles;1693.0;1693.0;0;0.0;0.0;1.0024492740631104;
Geneva-Vienna;1226.0;1226.0;4949.0;0.0;0.0;0.005057334899902344;
Athens-Geneva;3010.0;3010.0;8478.0;0.0;0.0009999275207519531;0.002742767333984375;
Rome-Stockholm;2707.0;2707.0;0;0.0;0.0;1.011436939239502;
Cologne-Munich;1438.0;1438.0;0;0.0;0.0;1.0049262046813965;
Cherbourg-Lyons;1273.0;1273.0;5303.0;0.0;0.0;0.0;
Rome-Geneva;1206.0;1206.0;7926.0;0.0;0.0;0.008043766021728516;
Vienna-Cherbourg;1588.0;1588.0;0;0.0;0.0;1.0117154121398926;
Stockholm-Rome;2671.0;2671.0;0;0.0;0.0;1.0154366493225098;
Lisbon-Hook of Holland;2231.0;2231.0;0;0.0;0.0;1.0017600059509277;
Lyons-Calais;894.0;894.0;0;0.0009989738464355469;0.0;1.0154683589935303;
Barcelona-Madrid;1678.0;1678.0;0;0.0;0.0;1.0060293674468994;
Lyons-Hook of Holland;1053.0;1053.0;0;0.0;0.0;1.011688470840454;
Lyons-Cherbourg;1273.0;1273.0;0;0.0;0.0;1.0100245475769043;
Copenhagen-Lisbon;2636.0;2636.0;2636.0;0.0;0.0;0.005506038665771484;
Milan-Hook of Holland;1459.0;1459.0;0;0.0;0.0;1.0140814781188965;
Lisbon-Vienna;2330.0;2330.0;6885.0;0.0;0.0;0.0;
Barcelona-Hamburg;2040.0;2040.0;0;0.0;0.0;1.0153048038482666;
Copenhagen-Vienna;1532.0;1532.0;9521.0;0.0;0.0009999275207519531;0.0;
Paris-Milan;799.0;799.0;0;0.0;0.0;1.0079052448272705;
Lisbon-Rome;2092.0;2092.0;0;0.0;0.0;1.0123887062072754;
Lyons-Barcelona;1342.0;1342.0;0;0.0;0.0;1.0155513286590576;
Madrid-Paris;1830.0;1830.0;0;0.0;0.0;1.001596212387085;
Marseilles-Paris;938.0;938.0;0;0.0;0.0;1.000243902206421;
Barcelona-Paris;1316.0;1316.0;0;0.0;0.0;1.0046849250793457;
Calais-Vienna;1381.0;1381.0;16160.0;0.0;0.0;0.019456863403320312;
Lisbon-Lyons;1178.0;1178.0;0;0.0;0.0;1.002089262008667;
Rome-Gibraltar;2631.0;2631.0;3933.0;0.0;0.0;0.0;
Geneva-Brussels;677.0;677.0;0;0.0;0.0;1.014277458190918;
Stockholm-Calais;1786.0;1786.0;0;0.0;0.0009999275207519531;1.0027413368225098;
Lyons-Stockholm;1972.0;1972.0;0;0.0;0.0;1.0149033069610596;
Vienna-Hamburg;1755.0;1755.0;0;0.0;0.0;1.0056791305541992;
Brussels-Geneva;677.0;677.0;5538.0;0.0;0.0;0.0;
Gibraltar-Copenhagen;2697.0;2697.0;0;0.0;0.0;1.014439344406128;
Marseilles-Madrid;1157.0;1157.0;0;0.0;0.0;1.0025649070739746;
Rome-Cherbourg;1794.0;1794.0;0;0.0;0.0;1.0155823230743408;
Stockholm-Brussels;1672.0;1672.0;0;0.0;0.0;1.0144097805023193;
Athens-Lyons;3148.0;3148.0;0;0.0;0.0;1.0085222721099854;
Munich-Stockholm;1754.0;1754.0;0;0.0;0.0;1.0067451000213623;
Paris-Brussels;285.0;285.0;0;0.0;0.0;1.0020017623901367;
Hamburg-Rome;1722.0;1722.0;0;0.0010004043579101562;0.0;1.0022385120391846;
Gibraltar-Vienna;2969.0;2969.0;2974.0;0.0;0.0;0.0;
Hook of Holland-Brussels;172.0;172.0;0;0.0;0.0;1.0006749629974365;
Brussels-Munich;1106.0;1106.0;0;0.0;0.0;1.0010309219360352;
Cologne-Vienna;1790.0;1790.0;5410.0;0.0;0.0;0.002563953399658203;
Munich-Milan;331.0;331.0;0;0.0;0.0;1.0051181316375732;
Hook of Holland-Gibraltar;2428.0;2428.0;8697.0;0.0;0.0;0.015685081481933594;
