Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Hook of Holland-Vienna;1706.0;1706.0;0;0.0;0.0;1.0127778053283691;
Hamburg-Vienna;1233.0;1233.0;0;0.0010001659393310547;0.0;1.0117404460906982;
Hamburg-Paris;1149.0;1149.0;0;0.0;0.0;1.0004971027374268;
Calais-Brussels;204.0;204.0;0;0.0;0.0;1.0024495124816895;
Munich-Barcelona;1345.0;1345.0;11271.0;0.0;0.0;0.0;
Copenhagen-Hook of Holland;1466.0;1466.0;5122.0;0.0;0.0;0.015988826751708984;
Lisbon-Brussels;1868.0;1868.0;0;0.0;0.0;1.011871099472046;
Gibraltar-Marseilles;1693.0;1693.0;0;0.0;0.0;1.005634069442749;
Geneva-Vienna;1226.0;1226.0;0;0.0;0.0;1.0128071308135986;
Athens-Geneva;3010.0;3010.0;4694.0;0.0;0.0009999275207519531;0.0;
Rome-Stockholm;2707.0;2707.0;0;0.0;0.0;1.015049934387207;
Cologne-Munich;1438.0;1438.0;0;0.0;0.0;1.004441261291504;
Cherbourg-Lyons;1273.0;1273.0;0;0.0;0.0;1.0133659839630127;
Rome-Geneva;1206.0;1206.0;0;0.0;0.0;1.0049834251403809;
Vienna-Cherbourg;1588.0;1588.0;1588.0;0.0;0.0;0.0;
Stockholm-Rome;2671.0;2671.0;3183.0;0.0;0.0;0.0;
Lisbon-Hook of Holland;2231.0;2231.0;6525.0;0.0;0.0;0.0008795261383056641;
Lyons-Calais;894.0;894.0;10149.0;0.0009989738464355469;0.0;0.0006382465362548828;
Barcelona-Madrid;1678.0;1678.0;0;0.0;0.0;1.0138981342315674;
Lyons-Hook of Holland;1053.0;1053.0;3608.0;0.0;0.0;0.003581523895263672;
Lyons-Cherbourg;1273.0;1273.0;3003.0;0.0;0.0;0.0026488304138183594;
Copenhagen-Lisbon;2636.0;2636.0;0;0.0;0.0;1.0104899406433105;
Milan-Hook of Holland;1459.0;1459.0;3687.0;0.0;0.0;0.0;
Lisbon-Vienna;2330.0;2330.0;0;0.0;0.0;1.0002617835998535;
Barcelona-Hamburg;2040.0;2040.0;0;0.0;0.0;1.0129008293151855;
Copenhagen-Vienna;1532.0;1532.0;0;0.0;0.0009999275207519531;1.0070338249206543;
Paris-Milan;799.0;799.0;0;0.0;0.0;1.0108819007873535;
Lisbon-Rome;2092.0;2092.0;8208.0;0.0;0.0;0.0;
Lyons-Barcelona;1342.0;1342.0;13114.0;0.0;0.0;0.010383367538452148;
Madrid-Paris;1830.0;1830.0;0;0.0;0.0;1.0121018886566162;
Marseilles-Paris;938.0;938.0;0;0.0;0.0;1.0030770301818848;
Barcelona-Paris;1316.0;1316.0;0;0.0;0.0;1.0140628814697266;
Calais-Vienna;1381.0;1381.0;0;0.0;0.0;1.0040812492370605;
Lisbon-Lyons;1178.0;1178.0;0;0.0;0.0;1.014082431793213;
Rome-Gibraltar;2631.0;2631.0;0;0.0;0.0;1.009354829788208;
Geneva-Brussels;677.0;677.0;0;0.0;0.0;1.0015664100646973;
Stockholm-Calais;1786.0;1786.0;7102.0;0.0;0.0009999275207519531;0.0;
Lyons-Stockholm;1972.0;1972.0;2108.0;0.0;0.0;0.0064733028411865234;
Vienna-Hamburg;1755.0;1755.0;0;0.0;0.0;1.0119097232818604;
Brussels-Geneva;677.0;677.0;0;0.0;0.0;1.00606107711792;
Gibraltar-Copenhagen;2697.0;2697.0;0;0.0;0.0;1.0124378204345703;
Marseilles-Madrid;1157.0;1157.0;0;0.0;0.0;1.014267921447754;
Rome-Cherbourg;1794.0;1794.0;0;0.0;0.0;1.0020315647125244;
Stockholm-Brussels;1672.0;1672.0;0;0.0;0.0;1.0128350257873535;
Athens-Lyons;3148.0;3148.0;0;0.0;0.0;1.007883071899414;
Munich-Stockholm;1754.0;1754.0;2518.0;0.0;0.0;0.0;
Paris-Brussels;285.0;285.0;0;0.0;0.0;1.011763095855713;
Hamburg-Rome;1722.0;1722.0;6450.0;0.0010004043579101562;0.0;0.0;
Gibraltar-Vienna;2969.0;2969.0;0;0.0;0.0;1.008176565170288;
Hook of Holland-Brussels;172.0;172.0;0;0.0;0.0;1.0146496295928955;
Brussels-Munich;1106.0;1106.0;0;0.0;0.0;1.001838207244873;
Cologne-Vienna;1790.0;1790.0;0;0.0;0.0;1.001465082168579;
Munich-Milan;331.0;331.0;331.0;0.0;0.0;0.0;
Hook of Holland-Gibraltar;2428.0;2428.0;0;0.0;0.0;1.0021800994873047;
