Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Hook of Holland-Vienna;1706.0;1706.0;0;0.0;0.0;1.0102403163909912;
Hamburg-Vienna;1233.0;1233.0;0;0.0010001659393310547;0.0;1.0131971836090088;
Hamburg-Paris;1149.0;1149.0;0;0.0;0.0;1.0008862018585205;
Calais-Brussels;204.0;204.0;204.0;0.0;0.0;0.0;
Munich-Barcelona;1345.0;1345.0;0;0.0;0.0;1.0147373676300049;
Copenhagen-Hook of Holland;1466.0;1466.0;0;0.0;0.0;1.0059025287628174;
Lisbon-Brussels;1868.0;1868.0;7911.0;0.0;0.0;0.0;
Gibraltar-Marseilles;1693.0;1693.0;0;0.0;0.0;1.0019428730010986;
Geneva-Vienna;1226.0;1226.0;0;0.0;0.0;1.00225830078125;
Athens-Geneva;3010.0;3010.0;0;0.0;0.0009999275207519531;1.0018014907836914;
Rome-Stockholm;2707.0;2707.0;0;0.0;0.0;1.0026493072509766;
Cologne-Munich;1438.0;1438.0;0;0.0;0.0;1.0009446144104004;
Cherbourg-Lyons;1273.0;1273.0;0;0.0;0.0;1.0016579627990723;
Rome-Geneva;1206.0;1206.0;0;0.0;0.0;1.0016608238220215;
Vienna-Cherbourg;1588.0;1588.0;1588.0;0.0;0.0;0.0;
Stockholm-Rome;2671.0;2671.0;0;0.0;0.0;1.0018391609191895;
Lisbon-Hook of Holland;2231.0;2231.0;0;0.0;0.0;1.001783847808838;
Lyons-Calais;894.0;894.0;7009.0;0.0009989738464355469;0.0;0.0121917724609375;
Barcelona-Madrid;1678.0;1678.0;0;0.0;0.0;1.013871192932129;
Lyons-Hook of Holland;1053.0;1053.0;0;0.0;0.0;1.0000903606414795;
Lyons-Cherbourg;1273.0;1273.0;3003.0;0.0;0.0;0.0041315555572509766;
Copenhagen-Lisbon;2636.0;2636.0;0;0.0;0.0;1.011319637298584;
Milan-Hook of Holland;1459.0;1459.0;0;0.0;0.0;1.0146737098693848;
Lisbon-Vienna;2330.0;2330.0;0;0.0;0.0;1.0033245086669922;
Barcelona-Hamburg;2040.0;2040.0;0;0.0;0.0;1.0010182857513428;
Copenhagen-Vienna;1532.0;1532.0;0;0.0;0.0009999275207519531;1.0032711029052734;
Paris-Milan;799.0;799.0;3950.0;0.0;0.0;0.0;
Lisbon-Rome;2092.0;2092.0;0;0.0;0.0;1.003403902053833;
Lyons-Barcelona;1342.0;1342.0;2629.0;0.0;0.0;0.0;
Madrid-Paris;1830.0;1830.0;0;0.0;0.0;1.0094413757324219;
Marseilles-Paris;938.0;938.0;0;0.0;0.0;1.0062458515167236;
Barcelona-Paris;1316.0;1316.0;0;0.0;0.0;1.0125513076782227;
Calais-Vienna;1381.0;1381.0;0;0.0;0.0;1.015058994293213;
Lisbon-Lyons;1178.0;1178.0;0;0.0;0.0;1.0013213157653809;
Rome-Gibraltar;2631.0;2631.0;0;0.0;0.0;1.0000100135803223;
Geneva-Brussels;677.0;677.0;677.0;0.0;0.0;0.0;
Stockholm-Calais;1786.0;1786.0;4369.0;0.0;0.0009999275207519531;0.006581544876098633;
Lyons-Stockholm;1972.0;1972.0;0;0.0;0.0;1.0001938343048096;
Vienna-Hamburg;1755.0;1755.0;0;0.0;0.0;1.0013673305511475;
Brussels-Geneva;677.0;677.0;0;0.0;0.0;1.0016357898712158;
Gibraltar-Copenhagen;2697.0;2697.0;0;0.0;0.0;1.0021419525146484;
Marseilles-Madrid;1157.0;1157.0;0;0.0;0.0;1.0016851425170898;
Rome-Cherbourg;1794.0;1794.0;2122.0;0.0;0.0;0.0025815963745117188;
Stockholm-Brussels;1672.0;1672.0;7306.0;0.0;0.0;0.0;
Athens-Lyons;3148.0;3148.0;0;0.0;0.0;1.015064001083374;
Munich-Stockholm;1754.0;1754.0;0;0.0;0.0;1.014679193496704;
Paris-Brussels;285.0;285.0;7725.0;0.0;0.0;0.0;
Hamburg-Rome;1722.0;1722.0;0;0.0010004043579101562;0.0;1.0080523490905762;
Gibraltar-Vienna;2969.0;2969.0;0;0.0;0.0;1.0124256610870361;
Hook of Holland-Brussels;172.0;172.0;172.0;0.0;0.0;0.0;
Brussels-Munich;1106.0;1106.0;0;0.0;0.0;1.015270709991455;
Cologne-Vienna;1790.0;1790.0;0;0.0;0.0;1.001084566116333;
Munich-Milan;331.0;331.0;7714.0;0.0;0.0;0.0;
Hook of Holland-Gibraltar;2428.0;2428.0;0;0.0;0.0;1.0045537948608398;
