Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Hook of Holland-Vienna;1706.0;1706.0;0;0.0;0.0;1.0107111930847168;
Hamburg-Vienna;1233.0;1233.0;0;0.0010001659393310547;0.0;1.0108442306518555;
Hamburg-Paris;1149.0;1149.0;6432.0;0.0;0.0;0.0;
Calais-Brussels;204.0;204.0;0;0.0;0.0;1.0058302879333496;
Munich-Barcelona;1345.0;1345.0;0;0.0;0.0;1.000868797302246;
Copenhagen-Hook of Holland;1466.0;1466.0;0;0.0;0.0;1.015455961227417;
Lisbon-Brussels;1868.0;1868.0;0;0.0;0.0;1.001391887664795;
Gibraltar-Marseilles;1693.0;1693.0;0;0.0;0.0;1.0041253566741943;
Geneva-Vienna;1226.0;1226.0;0;0.0;0.0;1.0106775760650635;
Athens-Geneva;3010.0;3010.0;4095.0;0.0;0.0009999275207519531;0.0;
Rome-Stockholm;2707.0;2707.0;7562.0;0.0;0.0;0.0005161762237548828;
Cologne-Munich;1438.0;1438.0;0;0.0;0.0;1.0094642639160156;
Cherbourg-Lyons;1273.0;1273.0;0;0.0;0.0;1.0013113021850586;
Rome-Geneva;1206.0;1206.0;6646.0;0.0;0.0;0.004082202911376953;
Vienna-Cherbourg;1588.0;1588.0;1588.0;0.0;0.0;0.0015263557434082031;
Stockholm-Rome;2671.0;2671.0;2707.0;0.0;0.0;0.0;
Lisbon-Hook of Holland;2231.0;2231.0;0;0.0;0.0;1.0066733360290527;
Lyons-Calais;894.0;894.0;0;0.0009989738464355469;0.0;1.0057830810546875;
Barcelona-Madrid;1678.0;1678.0;0;0.0;0.0;1.0117111206054688;
Lyons-Hook of Holland;1053.0;1053.0;0;0.0;0.0;1.0155436992645264;
Lyons-Cherbourg;1273.0;1273.0;3003.0;0.0;0.0;0.0;
Copenhagen-Lisbon;2636.0;2636.0;0;0.0;0.0;1.015514612197876;
Milan-Hook of Holland;1459.0;1459.0;0;0.0;0.0;1.0140247344970703;
Lisbon-Vienna;2330.0;2330.0;0;0.0;0.0;1.006824254989624;
Barcelona-Hamburg;2040.0;2040.0;0;0.0;0.0;1.0138156414031982;
Copenhagen-Vienna;1532.0;1532.0;0;0.0;0.0009999275207519531;1.000115156173706;
Paris-Milan;799.0;799.0;3057.0;0.0;0.0;0.0;
Lisbon-Rome;2092.0;2092.0;7749.0;0.0;0.0;0.007806301116943359;
Lyons-Barcelona;1342.0;1342.0;0;0.0;0.0;1.0066297054290771;
Madrid-Paris;1830.0;1830.0;8655.0;0.0;0.0;0.010394811630249023;
Marseilles-Paris;938.0;938.0;6320.0;0.0;0.0;0.0;
Barcelona-Paris;1316.0;1316.0;6841.0;0.0;0.0;0.015607595443725586;
Calais-Vienna;1381.0;1381.0;0;0.0;0.0;1.0137090682983398;
Lisbon-Lyons;1178.0;1178.0;0;0.0;0.0;1.0128862857818604;
Rome-Gibraltar;2631.0;2631.0;0;0.0;0.0;1.001047134399414;
Geneva-Brussels;677.0;677.0;0;0.0;0.0;1.0002551078796387;
Stockholm-Calais;1786.0;1786.0;0;0.0;0.0009999275207519531;1.015596866607666;
Lyons-Stockholm;1972.0;1972.0;2108.0;0.0;0.0;0.0;
Vienna-Hamburg;1755.0;1755.0;0;0.0;0.0;1.0043623447418213;
Brussels-Geneva;677.0;677.0;677.0;0.0;0.0;0.004160881042480469;
Gibraltar-Copenhagen;2697.0;2697.0;3196.0;0.0;0.0;0.0;
Marseilles-Madrid;1157.0;1157.0;0;0.0;0.0;1.0055835247039795;
Rome-Cherbourg;1794.0;1794.0;2122.0;0.0;0.0;0.0;
Stockholm-Brussels;1672.0;1672.0;0;0.0;0.0;1.001476526260376;
Athens-Lyons;3148.0;3148.0;0;0.0;0.0;1.0132625102996826;
Munich-Stockholm;1754.0;1754.0;2518.0;0.0;0.0;0.0;
Paris-Brussels;285.0;285.0;0;0.0;0.0;1.009810209274292;
Hamburg-Rome;1722.0;1722.0;16517.0;0.0010004043579101562;0.0;0.017257213592529297;
Gibraltar-Vienna;2969.0;2969.0;0;0.0;0.0;1.0058181285858154;
Hook of Holland-Brussels;172.0;172.0;0;0.0;0.0;1.0098168849945068;
Brussels-Munich;1106.0;1106.0;0;0.0;0.0;1.0013725757598877;
Cologne-Vienna;1790.0;1790.0;0;0.0;0.0;1.0154991149902344;
Munich-Milan;331.0;331.0;1862.0;0.0;0.0;0.0;
Hook of Holland-Gibraltar;2428.0;2428.0;2428.0;0.0;0.0;0.01035308837890625;
