Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
73-43;974.0;974.0;0;0.0004177093505859375;0.00046706199645996094;1.00032377243042;
70-73;912.0;912.0;0;0.0005099773406982422;0.0005478858947753906;1.0004312992095947;
93-52;694.0;694.0;0;0.0004909038543701172;0.0005104541778564453;1.0002844333648682;
5-36;1183.0;1183.0;0;0.0005168914794921875;0.0011363029479980469;1.0001907348632812;
12-77;1036.0;1036.0;0;0.0006067752838134766;0.000751495361328125;1.0006487369537354;
89-86;1481.0;1481.0;0;0.0005137920379638672;0.00045752525329589844;1.0001826286315918;
35-91;966.0;966.0;0;0.0005402565002441406;0.001026153564453125;1.0001013278961182;
53-49;1096.0;1096.0;0;0.0008685588836669922;0.0010066032409667969;1.0001246929168701;
70-60;1065.0;1065.0;0;0.0005838871002197266;0.0006930828094482422;1.0006382465362549;
6-65;989.0;989.0;0;0.00023174285888671875;0.00032830238342285156;1.0005197525024414;
43-15;735.0;735.0;0;0.0004987716674804688;0.0005006790161132812;1.000411033630371;
25-9;1446.0;1446.0;0;0.0004107952117919922;0.001149892807006836;1.000234603881836;
27-31;1203.0;1203.0;53972.0;0.000789642333984375;0.0012640953063964844;0.011187314987182617;
8-34;667.0;667.0;0;0.0004048347473144531;0.00018644332885742188;1.0003604888916016;
72-82;1046.0;1046.0;0;0.0003032684326171875;0.0007541179656982422;1.0004353523254395;
3-83;1408.0;1408.0;0;0.0005488395690917969;0.0012788772583007812;1.000277042388916;
62-42;945.0;945.0;0;0.00017499923706054688;0.00075531005859375;1.0007092952728271;
2-43;1046.0;1046.0;0;0.0004892349243164062;0.00034546852111816406;1.0007145404815674;
41-87;1133.0;1133.0;0;0.0007498264312744141;0.001201629638671875;1.0005416870117188;
86-61;703.0;703.0;0;0.0005633831024169922;0.0003483295440673828;1.000459909439087;
45-36;1047.0;1047.0;0;0.00039386749267578125;0.00017023086547851562;1.0003018379211426;
28-35;1131.0;1131.0;0;0.000797271728515625;0.0011382102966308594;1.0000898838043213;
78-79;710.0;710.0;0;0.00028443336486816406;0.0005192756652832031;1.0000932216644287;
4-71;507.0;507.0;0;0.00027751922607421875;0.00029015541076660156;1.000269889831543;
58-92;1828.0;1828.0;0;0.0003542900085449219;0.0009555816650390625;1.000493049621582;
78-35;868.0;868.0;0;0.00023293495178222656;0.0007982254028320312;1.0003077983856201;
64-31;1481.0;1481.0;50433.0;0.00028324127197265625;0.0009226799011230469;0.006543874740600586;
98-36;1318.0;1318.0;0;0.0003108978271484375;0.0009760856628417969;1.0002269744873047;
10-78;1184.0;1184.0;0;0.00042557716369628906;0.0010957717895507812;1.0004632472991943;
45-40;2215.0;2215.0;0;0.00047135353088378906;0.0012116432189941406;1.000624418258667;
77-23;810.0;810.0;0;0.0005142688751220703;0.00029969215393066406;1.0005295276641846;
15-36;1430.0;1430.0;0;0.0004677772521972656;0.001238107681274414;1.0000736713409424;
24-68;1513.0;1513.0;0;0.000774383544921875;0.0016775131225585938;1.000415325164795;
39-38;1025.0;1025.0;0;0.0005517005920410156;0.0005273818969726562;1.0003342628479004;
39-46;796.0;796.0;0;0.00030303001403808594;0.00022411346435546875;1.0001027584075928;
91-40;1463.0;1463.0;0;0.0002758502960205078;0.0011034011840820312;1.000091791152954;
49-86;1184.0;1184.0;0;0.0005030632019042969;0.00044608116149902344;1.0002079010009766;
22-7;754.0;754.0;0;0.00042057037353515625;0.00021505355834960938;1.0002646446228027;
51-98;750.0;750.0;0;0.00016260147094726562;0.00018095970153808594;1.000453233718872;
9-2;698.0;698.0;0;0.0003914833068847656;0.0004341602325439453;1.000539779663086;
2-21;1085.0;1085.0;0;0.0005786418914794922;0.0003528594970703125;1.0002102851867676;
76-24;1008.0;1008.0;0;0.00018739700317382812;0.0006413459777832031;1.0003225803375244;
54-49;730.0;730.0;0;0.0006167888641357422;0.0003948211669921875;1.0005297660827637;
28-33;457.0;457.0;0;0.0003266334533691406;0.00018835067749023438;1.0007593631744385;
8-99;1080.0;1080.0;0;0.00048828125;0.0006737709045410156;1.0005548000335693;
50-1;659.0;659.0;0;0.0002651214599609375;0.00031685829162597656;1.0002739429473877;
30-88;1447.0;1447.0;0;0.0002143383026123047;0.0008883476257324219;1.0000693798065186;
88-5;1749.0;1749.0;0;0.0005810260772705078;0.0008528232574462891;1.0001273155212402;
43-74;876.0;876.0;0;0.0004982948303222656;0.0008094310760498047;1.0000813007354736;
11-10;1128.0;1128.0;0;0.00036787986755371094;0.0009419918060302734;1.000648021697998;
51-14;1484.0;1484.0;0;0.0005137920379638672;0.001010894775390625;1.0002031326293945;
40-98;823.0;823.0;0;0.00017380714416503906;0.0003001689910888672;1.0005738735198975;
8-80;378.0;378.0;0;0.0002484321594238281;0.0001068115234375;1.000232458114624;
68-92;977.0;977.0;0;0.000255584716796875;0.00020074844360351562;1.0001459121704102;
73-19;1173.0;1173.0;0;0.00039696693420410156;0.0007958412170410156;1.0003042221069336;
51-42;1543.0;1543.0;0;0.0003116130828857422;0.0011093616485595703;1.000293254852295;
24-100;306.0;306.0;0;8.7738037109375e-05;8.368492126464844e-05;1.0000317096710205;
6-46;815.0;815.0;0;0.0003345012664794922;0.0002262592315673828;1.0000967979431152;
9-21;829.0;829.0;0;0.0006592273712158203;0.0007779598236083984;1.0004332065582275;
38-54;1640.0;1640.0;0;0.00036835670471191406;0.0010602474212646484;1.0009334087371826;
