Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
25-62;601.0;601.0;2442.0;9.703636169433594e-05;4.1961669921875e-05;0.005388736724853516;
99-5;1341.0;1341.0;3498.0;0.0003211498260498047;0.0011448860168457031;0.007979393005371094;
40-99;1471.0;1471.0;1514.0;0.0006945133209228516;0.0012545585632324219;0.0051479339599609375;
92-81;902.0;902.0;902.0;0.00033736228942871094;0.0003838539123535156;0.00276947021484375;
82-58;689.0;689.0;2166.0;0.00027298927307128906;0.0005648136138916016;0.006824016571044922;
63-10;1208.0;1208.0;1816.0;0.0005748271942138672;0.0010554790496826172;0.006682872772216797;
52-71;992.0;992.0;992.0;0.0005335807800292969;0.0005104541778564453;0.003589630126953125;
83-80;632.0;632.0;743.0;0.0001468658447265625;7.581710815429688e-05;0.0023348331451416016;
16-56;1287.0;1287.0;0;0.000457763671875;0.0009088516235351562;1.0002179145812988;
40-89;1294.0;1294.0;1294.0;0.0006515979766845703;0.0009148120880126953;0.005591869354248047;
29-83;1175.0;1175.0;0;0.00027108192443847656;0.0011470317840576172;1.000291347503662;
36-2;1166.0;1166.0;0;0.0004177093505859375;0.0007364749908447266;1.0001873970031738;
98-64;228.0;228.0;228.0;5.9604644775390625e-05;0.00017309188842773438;0.0006492137908935547;
50-22;758.0;758.0;1691.0;0.0006260871887207031;0.0004756450653076172;0.004510164260864258;
15-65;1188.0;1188.0;1792.0;0.0004062652587890625;0.0007798671722412109;0.0035963058471679688;
31-76;1203.0;1203.0;1203.0;0.0005292892456054688;0.0011355876922607422;0.005658388137817383;
80-91;1082.0;1082.0;0;0.00061798095703125;0.0005249977111816406;1.000260829925537;
58-77;1398.0;1398.0;0;0.0007805824279785156;0.00048661231994628906;1.0005567073822021;
36-34;1027.0;1027.0;1493.0;0.000629425048828125;0.0005266666412353516;0.004003047943115234;
65-90;1078.0;1078.0;0;0.0003972053527832031;0.0010120868682861328;1.0002944469451904;
97-35;1494.0;1494.0;1723.0;0.0005002021789550781;0.0012967586517333984;0.005529642105102539;
42-4;1232.0;1232.0;1388.0;0.00041675567626953125;0.0010154247283935547;0.006628751754760742;
69-38;810.0;810.0;928.0;0.0004782676696777344;0.0006990432739257812;0.003444194793701172;
33-97;575.0;575.0;575.0;0.0002923011779785156;0.00021839141845703125;0.0017464160919189453;
15-76;794.0;794.0;0;0.00033211708068847656;0.0001819133758544922;1.0002820491790771;
23-76;1233.0;1233.0;0;0.0006535053253173828;0.0009913444519042969;1.0004332065582275;
68-78;1262.0;1262.0;0;0.0004937648773193359;0.0007603168487548828;1.0001320838928223;
68-50;1750.0;1750.0;1750.0;0.0008909702301025391;0.001377105712890625;0.0025184154510498047;
23-52;721.0;721.0;721.0;0.0006060600280761719;0.00030517578125;0.0014221668243408203;
61-47;1756.0;1756.0;0;0.0007331371307373047;0.0015139579772949219;1.0000615119934082;
24-27;1694.0;1694.0;2894.0;0.00045680999755859375;0.0014913082122802734;0.005693674087524414;
87-65;610.0;610.0;1109.0;0.0002338886260986328;0.0002727508544921875;0.0037899017333984375;
57-36;935.0;935.0;2327.0;0.0002467632293701172;0.0009315013885498047;0.011795520782470703;
16-48;566.0;566.0;0;0.00012874603271484375;0.00011014938354492188;1.000281810760498;
96-50;1232.0;1232.0;1232.0;0.00044155120849609375;0.0007405281066894531;0.0013535022735595703;
2-38;1131.0;1131.0;0;0.00027370452880859375;0.00040793418884277344;1.000056505203247;
61-48;861.0;861.0;0;0.0007610321044921875;0.0008270740509033203;1.0002319812774658;
25-91;1022.0;1022.0;2241.0;0.0003705024719238281;0.0003867149353027344;0.006516695022583008;
