Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
81-65;1015.0;1015.0;0;0.000362396240234375;0.00018548965454101562;1.000359058380127;
61-30;1006.0;1006.0;0;0.0003249645233154297;0.0010378360748291016;1.0001249313354492;
12-10;856.0;856.0;0;0.0003159046173095703;0.0004980564117431641;1.0004496574401855;
44-35;1480.0;1480.0;0;0.0005762577056884766;0.0013175010681152344;1.0006229877471924;
95-57;877.0;877.0;0;0.0006108283996582031;0.0007715225219726562;1.0003201961517334;
58-10;2181.0;2181.0;0;0.0007636547088623047;0.0013556480407714844;1.0002696514129639;
86-11;1161.0;1161.0;0;0.00052642822265625;0.0009818077087402344;1.000622272491455;
32-76;1302.0;1302.0;0;0.0008895397186279297;0.0011069774627685547;1.000535011291504;
99-26;1201.0;1201.0;0;0.0005049705505371094;0.0017249584197998047;1.000504493713379;
16-22;912.0;912.0;0;0.0002551078796386719;0.00036907196044921875;1.0005431175231934;
7-41;884.0;884.0;21048.0;0.00036787986755371094;0.0007727146148681641;0.004858493804931641;
73-17;1369.0;1369.0;0;0.0005524158477783203;0.001010894775390625;1.0005438327789307;
59-57;1314.0;1314.0;0;0.00038313865661621094;0.00042128562927246094;1.0004901885986328;
26-45;1255.0;1255.0;0;0.00046253204345703125;0.0011606216430664062;1.0006422996520996;
33-50;1144.0;1144.0;0;0.00028133392333984375;0.0008566379547119141;1.0003020763397217;
56-54;1464.0;1464.0;0;0.0005819797515869141;0.0011601448059082031;1.0001399517059326;
35-20;878.0;878.0;0;0.0006737709045410156;0.0008416175842285156;1.0001740455627441;
92-65;1227.0;1227.0;0;0.0005092620849609375;0.0007965564727783203;1.0008080005645752;
55-53;241.0;241.0;0;0.00015282630920410156;0.00012040138244628906;1.0007331371307373;
19-52;1257.0;1257.0;0;0.0002868175506591797;0.0005424022674560547;1.0002491474151611;
39-99;769.0;769.0;0;0.0001811981201171875;0.00022101402282714844;1.0004782676696777;
52-29;1978.0;1978.0;0;0.0004107952117919922;0.0014905929565429688;1.000802755355835;
98-93;727.0;727.0;0;0.00020742416381835938;0.00013017654418945312;1.0007390975952148;
71-86;975.0;975.0;0;0.0003657341003417969;0.0008060932159423828;1.000631332397461;
11-23;947.0;947.0;0;0.0004892349243164062;0.0006029605865478516;1.000580072402954;
8-6;1128.0;1128.0;0;0.0003743171691894531;0.0008528232574462891;1.0004088878631592;
62-86;685.0;685.0;0;0.00027489662170410156;0.00031638145446777344;1.0003421306610107;
22-6;1613.0;1613.0;0;0.0008015632629394531;0.0015559196472167969;1.0008409023284912;
52-15;788.0;788.0;0;0.000339508056640625;0.00026869773864746094;1.0000724792480469;
88-86;1906.0;1906.0;0;0.0004417896270751953;0.00107574462890625;1.0007636547088623;
46-47;1897.0;1897.0;0;0.0007007122039794922;0.0013096332550048828;1.0002446174621582;
87-88;978.0;978.0;0;0.0003485679626464844;0.0008025169372558594;1.0005402565002441;
71-48;892.0;892.0;0;0.0005290508270263672;0.0007216930389404297;1.000654697418213;
48-74;1310.0;1310.0;0;0.00046324729919433594;0.0008451938629150391;1.0001556873321533;
79-22;1058.0;1058.0;0;0.0003409385681152344;0.0005738735198974609;1.000556468963623;
45-81;1416.0;1416.0;0;0.0003578662872314453;0.00063323974609375;1.0004143714904785;
1-7;568.0;568.0;0;0.0005805492401123047;0.0004074573516845703;1.0004653930664062;
63-1;449.0;449.0;0;0.0001289844512939453;0.00019240379333496094;1.0003478527069092;
88-89;1526.0;1526.0;0;0.0006902217864990234;0.0006403923034667969;1.000248670578003;
58-89;1711.0;1711.0;0;0.0007297992706298828;0.0008633136749267578;1.0007860660552979;
28-33;457.0;457.0;7078.0;0.00033974647521972656;0.00019884109497070312;0.0017745494842529297;
80-76;1226.0;1226.0;0;0.0004749298095703125;0.0007810592651367188;1.0006377696990967;
62-73;846.0;846.0;0;0.00045943260192871094;0.000629425048828125;1.0001592636108398;
88-80;958.0;958.0;0;0.00024890899658203125;0.0001366138458251953;1.0006122589111328;
78-32;617.0;617.0;0;0.0005412101745605469;0.0004837512969970703;1.0008482933044434;
84-62;1063.0;1063.0;0;0.00041174888610839844;0.0011563301086425781;1.0005016326904297;
50-60;1377.0;1377.0;19762.0;0.0006825923919677734;0.0012466907501220703;0.003740072250366211;
79-86;1458.0;1458.0;0;0.0005993843078613281;0.00127410888671875;1.0004165172576904;
50-28;709.0;709.0;0;0.00023293495178222656;0.0003554821014404297;1.0003952980041504;
32-75;440.0;440.0;0;8.034706115722656e-05;4.839897155761719e-05;1.0000927448272705;
48-73;1326.0;1326.0;0;0.0005476474761962891;0.0007874965667724609;1.0002317428588867;
80-59;959.0;959.0;0;0.0003504753112792969;0.0002582073211669922;1.0001287460327148;
54-88;601.0;601.0;0;0.0002307891845703125;0.00029778480529785156;1.0002412796020508;
81-6;1363.0;1363.0;0;0.0003123283386230469;0.00047326087951660156;1.0001533031463623;
15-82;1141.0;1141.0;0;0.0004971027374267578;0.0008144378662109375;1.000333547592163;
73-66;853.0;853.0;0;0.00030303001403808594;0.00028514862060546875;1.0001654624938965;
7-5;1178.0;1178.0;0;0.0003910064697265625;0.001064300537109375;1.0004761219024658;
24-95;1051.0;1051.0;0;0.0005679130554199219;0.0009224414825439453;1.0001227855682373;
43-52;1035.0;1035.0;0;0.0005919933319091797;0.0009305477142333984;1.000640630722046;
92-52;1092.0;1092.0;0;0.0003714561462402344;0.0005548000335693359;1.0001304149627686;
