Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
58-21;1443.0;1443.0;3099.0;0.0005979537963867188;0.0004324913024902344;0.0007607936859130859;
42-59;665.0;665.0;0;0.0002837181091308594;0.00025963783264160156;1.0004770755767822;
8-97;1066.0;1066.0;6509.0;0.00042748451232910156;0.0005645751953125;0.0030317306518554688;
54-74;879.0;879.0;0;0.0005564689636230469;0.0006210803985595703;1.0004003047943115;
14-82;1428.0;1428.0;0;0.0007414817810058594;0.0012080669403076172;1.0001718997955322;
96-20;1073.0;1073.0;0;0.0004105567932128906;0.0005083084106445312;1.000424861907959;
87-99;997.0;997.0;0;0.0006113052368164062;0.0010704994201660156;1.0001914501190186;
54-63;1033.0;1033.0;0;0.0005185604095458984;0.0007982254028320312;1.000582218170166;
52-34;933.0;933.0;0;0.0005788803100585938;0.00040340423583984375;1.0000874996185303;
38-13;1268.0;1268.0;15513.0;0.00039124488830566406;0.0004305839538574219;0.005396127700805664;
3-10;1046.0;1046.0;0;0.00037384033203125;0.0008726119995117188;1.0002241134643555;
6-45;1092.0;1092.0;0;0.00029277801513671875;0.0005009174346923828;1.0002524852752686;
4-74;292.0;292.0;0;0.00018787384033203125;0.0001366138458251953;1.000511884689331;
24-2;1278.0;1278.0;0;0.0008707046508789062;0.002151966094970703;1.0001249313354492;
100-61;1113.0;1113.0;0;0.00049591064453125;0.0011973381042480469;1.0001883506774902;
53-20;727.0;727.0;727.0;0.001413583755493164;0.0005116462707519531;0.003057241439819336;
10-94;1252.0;1252.0;0;0.0006563663482666016;0.0013337135314941406;1.0000834465026855;
18-34;800.0;800.0;0;0.00034999847412109375;0.0002906322479248047;1.0002219676971436;
70-97;870.0;870.0;8894.0;0.0004687309265136719;0.0005102157592773438;0.0071032047271728516;
13-19;1329.0;1329.0;0;0.0006783008575439453;0.0012097358703613281;1.0004057884216309;
81-32;1426.0;1426.0;0;0.0005347728729248047;0.0006535053253173828;1.000509262084961;
53-54;1016.0;1016.0;0;0.0006458759307861328;0.0008647441864013672;1.0001952648162842;
71-45;1459.0;1459.0;0;0.0005218982696533203;0.0012679100036621094;1.0003623962402344;
67-9;605.0;605.0;0;0.0003056526184082031;0.0004432201385498047;1.0000672340393066;
51-12;1235.0;1235.0;6689.0;0.000423431396484375;0.0007724761962890625;0.0032091140747070312;
27-100;1077.0;1077.0;0;0.0007953643798828125;0.0013637542724609375;1.0000789165496826;
12-4;906.0;906.0;0;0.0002548694610595703;0.0006966590881347656;1.000521183013916;
62-69;837.0;837.0;0;0.00037980079650878906;0.0007793903350830078;1.00050950050354;
80-36;909.0;909.0;0;0.0003573894500732422;0.00043463706970214844;1.0001592636108398;
39-86;1326.0;1326.0;0;0.0005049705505371094;0.0011372566223144531;1.000725507736206;
60-42;1123.0;1123.0;0;0.0004889965057373047;0.0011730194091796875;1.000121831893921;
21-55;1132.0;1132.0;0;0.0005884170532226562;0.00099945068359375;1.000063419342041;
65-89;589.0;589.0;0;0.0002951622009277344;0.0003256797790527344;1.0000784397125244;
38-76;1584.0;1584.0;0;0.00044798851013183594;0.001171112060546875;1.0007328987121582;
51-24;1933.0;1933.0;0;0.0006577968597412109;0.0012226104736328125;1.0004327297210693;
24-43;691.0;691.0;0;0.0006330013275146484;0.0004189014434814453;1.0002732276916504;
64-11;1477.0;1477.0;0;0.0003790855407714844;0.0008990764617919922;1.000542402267456;
99-26;1201.0;1201.0;0;0.000408172607421875;0.0009851455688476562;1.0007867813110352;
95-87;1010.0;1010.0;0;0.0005578994750976562;0.0009090900421142578;1.000427007675171;
20-97;156.0;156.0;10337.0;0.00010132789611816406;4.029273986816406e-05;0.004157543182373047;
44-89;294.0;294.0;0;0.00016689300537109375;0.0001277923583984375;1.0002686977386475;
88-46;1351.0;1351.0;18805.0;0.0005748271942138672;0.0003669261932373047;0.007868289947509766;
94-29;1784.0;1784.0;0;0.00030517578125;0.0014352798461914062;1.0000543594360352;
55-94;855.0;855.0;0;0.0002770423889160156;0.0008718967437744141;1.000605821609497;
72-40;1272.0;1272.0;0;0.0003330707550048828;0.0012726783752441406;1.0001990795135498;
72-22;1097.0;1097.0;0;0.00043845176696777344;0.0007281303405761719;1.000798225402832;
25-78;1261.0;1261.0;0;0.0002758502960205078;0.0007460117340087891;1.0006709098815918;
91-8;1363.0;1363.0;0;0.0003993511199951172;0.0009152889251708984;1.000417947769165;
70-12;838.0;838.0;8999.0;0.0003676414489746094;0.0003845691680908203;0.010885953903198242;
9-90;1107.0;1107.0;0;0.0005011558532714844;0.0012118816375732422;1.0000746250152588;
28-2;968.0;968.0;0;0.00042748451232910156;0.0008704662322998047;1.0003209114074707;
19-71;1345.0;1345.0;0;0.0005636215209960938;0.000732421875;1.0004510879516602;
85-52;529.0;529.0;0;0.00037384033203125;0.00017571449279785156;1.0002555847167969;
20-83;1489.0;1489.0;0;0.0006630420684814453;0.0012454986572265625;1.0001654624938965;
85-29;1833.0;1833.0;0;0.0005497932434082031;0.0013606548309326172;1.0003466606140137;
20-46;197.0;197.0;10378.0;0.00010204315185546875;5.6743621826171875e-05;0.004064798355102539;
89-93;1464.0;1464.0;0;0.0003809928894042969;0.0004172325134277344;1.0003128051757812;
12-97;591.0;591.0;10071.0;0.0003056526184082031;0.00023937225341796875;0.004075288772583008;
39-60;743.0;743.0;0;7.534027099609375e-05;0.00016236305236816406;1.0006425380706787;
44-84;1144.0;1144.0;9744.0;0.0004723072052001953;0.001146078109741211;0.004575490951538086;
