Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
97-50;569.0;569.0;569.0;0.00020122528076171875;0.0002493858337402344;0.0017457008361816406;
57-30;1514.0;1514.0;4078.0;0.0006787776947021484;0.0013148784637451172;0.01686549186706543;
65-62;1336.0;1336.0;1336.0;0.0005137920379638672;0.0011723041534423828;0.004822969436645508;
76-43;1014.0;1014.0;1385.0;0.00047850608825683594;0.000812530517578125;0.0058019161224365234;
7-68;1168.0;1168.0;0;0.00033593177795410156;0.0010738372802734375;1.0007309913635254;
34-60;1168.0;1168.0;1941.0;0.0005538463592529297;0.0011758804321289062;0.009746313095092773;
35-68;1168.0;1168.0;0;0.0004870891571044922;0.0013496875762939453;1.00065016746521;
66-53;1386.0;1386.0;0;0.00047659873962402344;0.0010828971862792969;1.0008809566497803;
12-93;868.0;868.0;868.0;0.0004947185516357422;0.0005736351013183594;0.004102945327758789;
8-49;852.0;852.0;2068.0;0.0004029273986816406;0.0002460479736328125;0.00614166259765625;
91-62;1195.0;1195.0;1195.0;0.00036525726318359375;0.0007059574127197266;0.0018796920776367188;
92-35;1736.0;1736.0;0;0.0007669925689697266;0.0023789405822753906;1.000431776046753;
11-13;828.0;828.0;0;0.0004343986511230469;0.0003972053527832031;1.000101089477539;
25-86;881.0;881.0;1656.0;0.00028324127197265625;0.0001780986785888672;0.005948781967163086;
42-25;1431.0;1431.0;1431.0;0.00043082237243652344;0.0012331008911132812;0.007134437561035156;
51-53;1325.0;1325.0;0;0.000537872314453125;0.0009081363677978516;1.0003387928009033;
29-13;724.0;724.0;0;0.0004673004150390625;0.0006177425384521484;1.000277042388916;
16-84;1218.0;1218.0;1966.0;0.0005507469177246094;0.0008101463317871094;0.006590366363525391;
3-48;961.0;961.0;1743.0;0.0005402565002441406;0.0008270740509033203;0.008233308792114258;
46-59;439.0;439.0;439.0;0.00016641616821289062;0.0001361370086669922;0.0023136138916015625;
92-52;1092.0;1092.0;0;0.00037789344787597656;0.0005617141723632812;1.0006825923919678;
34-68;1411.0;1411.0;0;0.0006530284881591797;0.001415252685546875;1.0002772808074951;
