Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
Milan-Barcelona;1131.0;1131.0;0;0.0;0.0;1.0014758110046387;
Lisbon-Cologne;2264.0;2264.0;0;0.0;0.0;1.0009164810180664;
Vienna-Paris;1662.0;1662.0;0;0.0;0.015061378479003906;1.0017940998077393;
Calais-Gibraltar;2505.0;2505.0;0;0.0;0.0;1.0017414093017578;
Milan-Marseilles;618.0;618.0;618.0;0.0;0.0;0.0;
Paris-Rome;2140.0;2140.0;0;0.0;0.0;1.0019536018371582;
Cologne-Geneva;1239.0;1239.0;0;0.0;0.0;1.0001072883605957;
Brussels-Stockholm;1609.0;1609.0;0;0.0;0.0;1.002495288848877;
Hamburg-Lyons;1159.0;1159.0;0;0.0007512569427490234;0.0;1.0032219886779785;
Copenhagen-Athens;3299.0;3299.0;5924.0;0.0;0.0;0.018094301223754883;
Copenhagen-Vienna;1615.0;1615.0;0;0.0;0.0;1.0151431560516357;
Paris-Hamburg;877.0;877.0;877.0;0.0;0.0;0.0;
Vienna-Geneva;1087.0;1087.0;0;0.0;0.0;1.0000669956207275;
Copenhagen-Gibraltar;3045.0;3045.0;0;0.0;0.0;1.0004639625549316;
Copenhagen-Cologne;760.0;760.0;0;0.0;0.0;1.00026535987854;
Hamburg-Stockholm;2206.0;2206.0;0;0.0;0.0;1.0156257152557373;
Hook of Holland-Cologne;922.0;922.0;0;0.0;0.0;1.0165092945098877;
Gibraltar-Brussels;2256.0;2256.0;3411.0;0.0;0.0;0.0;
Milan-Calais;1077.0;1077.0;0;0.0010039806365966797;0.0;1.000063419342041;
Paris-Copenhagen;726.0;726.0;0;0.0;0.0;1.0172555446624756;
Madrid-Paris;1669.0;1669.0;0;0.0;0.0;1.0163545608520508;
Hook of Holland-Hamburg;729.0;729.0;729.0;0.0;0.0;0.0;
Calais-Hamburg;870.0;870.0;1596.0;0.0;0.0;0.0;
Geneva-Lisbon;1336.0;1336.0;0;0.0;0.0;1.0011065006256104;
Calais-Hook of Holland;376.0;376.0;7447.0;0.0;0.0;0.010201692581176758;
Milan-Stockholm;2314.0;2314.0;0;0.0;0.0;1.003549575805664;
Geneva-Cologne;1513.0;1513.0;0;0.0005462169647216797;0.0;1.002314567565918;
Paris-Athens;3487.0;3487.0;6112.0;0.0;0.0;0.0;
Athens-Lisbon;4081.0;4081.0;0;0.0;0.0;1.0028026103973389;
Geneva-Brussels;1436.0;1436.0;1436.0;0.0;0.0;0.0;
Athens-Madrid;4184.0;4184.0;0;0.0;0.0;1.0039374828338623;
Gibraltar-Hamburg;2896.0;2896.0;0;0.0;0.0;1.0025787353515625;
Hamburg-Munich;805.0;805.0;0;0.0;0.0;1.0160646438598633;
Barcelona-Marseilles;965.0;965.0;0;0.0;0.0;1.0134546756744385;
Vienna-Calais;1381.0;1381.0;0;0.0;0.0;1.0020217895507812;
Calais-Munich;1675.0;1675.0;0;0.0;0.0;1.0153210163116455;
Munich-Milan;331.0;331.0;3129.0;0.0;0.0;0.0;
Cologne-Marseilles;1035.0;1035.0;0;0.0;0.0;1.0124430656433105;
Vienna-Lisbon;2330.0;2330.0;0;0.0;0.0;1.0039491653442383;
Copenhagen-Milan;1367.0;1367.0;4233.0;0.0;0.0;0.0;
Lisbon-Milan;2938.0;2938.0;3721.0;0.0;0.0;0.010773658752441406;
Barcelona-Paris;1033.0;1033.0;0;0.0;0.0;1.0039713382720947;
Stockholm-Calais;1786.0;1786.0;0;0.0;0.0;1.0017364025115967;
Madrid-Cologne;1764.0;1764.0;0;0.0;0.0;1.0017471313476562;
Barcelona-Madrid;1870.0;1870.0;0;0.0;0.0;1.0014026165008545;
Lisbon-Vienna;2861.0;2861.0;0;0.0;0.0;1.0027835369110107;
Copenhagen-Rome;1952.0;1952.0;0;0.0;0.0;1.00169038772583;
Lisbon-Lyons;1178.0;1178.0;1178.0;0.0;0.0;0.0;
Rome-Calais;1663.0;1663.0;0;0.0;0.0;1.0022971630096436;
Milan-Brussels;1281.0;1281.0;1764.0;0.0;0.0;0.0;
