Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
765-881;167.0;167.0;0;0.009541988372802734;0.09115123748779297;1.001918077468872;
295-910;201.0;201.0;0;0.027054548263549805;0.12916350364685059;1.003188133239746;
404-908;157.0;157.0;0;0.024840831756591797;0.03307700157165527;1.001267671585083;
262-140;105.0;105.0;0;0.005641460418701172;0.04152846336364746;1.0006442070007324;
739-636;156.0;156.0;0;0.017613649368286133;0.0830392837524414;1.0034737586975098;
771-928;128.0;128.0;0;0.00919961929321289;0.07665061950683594;1.0006415843963623;
192-876;123.0;123.0;0;0.011983633041381836;0.029151439666748047;1.0026304721832275;
219-365;110.0;110.0;0;0.009737253189086914;0.04728865623474121;1.000209093093872;
867-843;153.0;153.0;0;0.02608323097229004;0.08808302879333496;1.0034680366516113;
163-977;155.0;155.0;0;0.010073184967041016;0.061708688735961914;1.0012741088867188;
