Path;Dijkstra;A Star;Ours;Dijkstra;A Star;Ours;
93-197;126.0;126.0;0;0.011553525924682617;0.0262601375579834;1.0020666122436523;
635-619;137.0;137.0;0;0.013979911804199219;0.09405040740966797;1.0012667179107666;
888-251;166.0;166.0;0;0.021038055419921875;0.08632516860961914;1.002995491027832;
152-85;105.0;105.0;0;0.012003183364868164;0.04537200927734375;1.0015954971313477;
595-341;130.0;130.0;0;0.021642684936523438;0.07795953750610352;1.001222848892212;
812-132;98.0;98.0;0;0.006384372711181641;0.007227420806884766;1.001185417175293;
632-332;151.0;151.0;0;0.011127948760986328;0.061211585998535156;1.0028307437896729;
66-747;182.0;182.0;0;0.018277645111083984;0.07417798042297363;1.0014598369598389;
334-842;143.0;143.0;0;0.008352279663085938;0.03371691703796387;1.0014245510101318;
332-786;125.0;125.0;0;0.022585153579711914;0.05894923210144043;1.000136137008667;
